eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor9,SemiMinor9,ErrorStrik,depth,depthError,magnitude,sigmaMagni,magnitudeT
6010,EMCA,1978,6,27,20,0,18.000000000000000,,80.950000000000003,42.159999999999997,,,,33.000000000000000,,4.400000000000000,,
6028,EMCA,1978,7,24,1,52,14.500000000000000,,79.299999999999997,41.759999999999998,,,,33.000000000000000,,4.500000000000000,,
6036,EMCA,1978,7,28,16,23,24.000000000000000,,80.780000000000001,43.130000000000003,,,,33.000000000000000,,4.500000000000000,,
6040,EMCA,1978,8,2,16,16,52.000000000000000,,81.599999999999994,44.299999999999997,,,,21.000000000000000,,4.600000000000000,,
6070,EMCA,1978,9,11,9,21,0.000000000000000,,81.560000000000002,44.609999999999999,,,,33.000000000000000,,4.100000000000000,,
6073,EMCA,1978,9,17,15,7,55.000000000000000,,81.799999999999997,44.250000000000000,,,,33.000000000000000,,4.200000000000000,,
6074,EMCA,1978,9,18,3,27,38.200000000000003,,78.799999999999997,40.859999999999999,,,,33.000000000000000,,4.200000000000000,,
6154,EMCA,1978,11,14,15,55,48.000000000000000,,82.680000000000007,43.430000000000000,,,,33.000000000000000,,4.600000000000000,,
6163,EMCA,1978,11,26,8,8,21.000000000000000,,81.629999999999995,41.680000000000000,,,,33.000000000000000,,4.700000000000000,,
6183,EMCA,1978,12,13,13,9,44.000000000000000,,80.099999999999994,45.430000000000000,,,,15.000000000000000,,4.100000000000000,,
6221,EMCA,1979,1,27,4,45,4.000000000000000,,81.400000000000006,41.680000000000000,,,,33.000000000000000,,4.800000000000000,,
6222,EMCA,1979,1,27,6,9,14.000000000000000,,81.329999999999998,41.729999999999997,,,,33.000000000000000,,4.100000000000000,,
6224,EMCA,1979,1,27,15,21,33.000000000000000,,81.379999999999995,41.729999999999997,,,,33.000000000000000,,4.100000000000000,,
6234,EMCA,1979,2,14,3,40,59.000000000000000,,70.000000000000000,40.100000000000001,,,,20.000000000000000,,4.400000000000000,,
6237,EMCA,1979,2,18,11,49,32.000000000000000,,82.000000000000000,49.200000000000003,,,,15.000000000000000,,4.000000000000000,,
6247,EMCA,1979,2,27,6,30,52.000000000000000,,81.450000000000003,41.659999999999997,,,,33.000000000000000,,4.100000000000000,,
6268,EMCA,1979,3,27,23,26,37.299999999999997,,79.379999999999995,41.680000000000000,,,,33.000000000000000,,4.100000000000000,,
6273,EMCA,1979,4,6,18,30,4.800000000000000,,77.430000000000007,41.960000000000001,,,,33.000000000000000,,5.000000000000000,,
6296,EMCA,1979,5,9,18,41,0.500000000000000,,79.099999999999994,42.100000000000001,,,,33.000000000000000,,4.800000000000000,,
6304,EMCA,1979,5,22,14,48,10.000000000000000,,75.959999999999994,42.109999999999999,,,,10.000000000000000,,4.600000000000000,,
6316,EMCA,1979,6,13,4,43,45.000000000000000,,81.400000000000006,45.200000000000003,,,,15.000000000000000,,4.000000000000000,,
6324,EMCA,1979,6,21,6,27,31.699999999999999,,79.409999999999997,41.500000000000000,,,,26.000000000000000,,4.000000000000000,,
6359,EMCA,1979,8,10,9,50,50.700000000000003,,69.030000000000001,39.079999999999998,,,,12.000000000000000,,4.600000000000000,,
6370,EMCA,1979,8,20,22,42,13.000000000000000,,53.000000000000000,41.000000000000000,,,,5.000000000000000,,4.300000000000000,,
6390,EMCA,1979,9,7,15,39,50.500000000000000,,75.159999999999997,41.460000000000001,,,,5.000000000000000,,4.500000000000000,,
6396,EMCA,1979,9,13,8,14,50.000000000000000,,82.180000000000007,47.079999999999998,,,,15.000000000000000,,4.500000000000000,,
6401,EMCA,1979,9,25,13,5,53.799999999999997,,76.963999999999999,45.091999999999999,,,,40.000000000000000,,5.800000000000000,,
